day1_temp,day1_humid,day1_windspd,day2_temp,day2_humid,day2_windspd,day3_temp,day3_humid,day3_windspd,day4_temp,day4_humid,day4_windspd,day5_temp,day5_humid,day5_windspd,y_day6_temp,y_change
-5.0,0.94,0.9,-0.8,0.94,1.9,1.2,0.88,1.7,2.1,0.58,3.4,-0.7,0.94,1.2,5.3,1
3.8,0.76,5.3,5.5,0.78,6.0,1.6,0.9,2.9,-0.6,0.89,1.5,1.6,0.94,0.8,3.0,1
1.5,0.79,1.2,-0.5,0.65,2.7,-3.7,0.84,1.4,-1.8,0.96,1.3,7.7,0.41,7.0,3.4,0
-0.3,0.64,2.3,1.3,0.71,2.2,-4.1,0.62,2.1,-5.3,0.92,2.2,-7.9,0.82,2.0,-7.4,1
-4.2,0.93,0.3,-3.8,0.93,0.8,-0.9,0.78,1.3,-2.6,0.79,0.8,3.1,0.9,5.3,0.3,0
-3.1,0.66,3.6,-5.2,0.85,2.2,-2.9,0.94,1.0,-3.1,0.7,1.0,3.1,0.89,1.9,1.6,0
4.9,0.8,1.9,5.6,0.74,5.8,0.8,0.82,1.9,0.7,0.67,1.5,3.8,0.86,5.6,4.8,1
3.9,0.93,5.7,0.8,0.77,3.9,-0.8,0.6,2.2,-1.1,0.95,1.5,-2.9,0.83,2.2,-5.5,0
-4.7,0.89,2.5,-7.5,0.85,1.7,-4.2,0.69,1.2,-4.4,0.78,1.5,-1.9,0.89,2.4,-3.0,0
-0.3,0.94,2.7,-3.2,0.9,1.2,-1.1,0.91,1.0,2.7,0.93,6.7,4.2,0.85,3.1,2.9,0
2.9,0.72,2.0,1.4,0.45,3.8,-0.2,0.8,3.4,-0.2,0.43,5.3,-1.8,0.51,2.6,5.9,1
5.2,0.44,3.8,-0.9,0.88,2.1,-0.4,0.54,4.5,-0.6,0.48,2.0,0.0,0.71,3.3,-0.9,0
1.6,0.94,1.7,2.4,0.48,3.9,1.9,0.41,2.1,0.1,0.74,1.0,0.5,0.88,0.7,4.0,1
0.9,0.8,0.7,8.5,0.62,4.5,5.6,0.68,2.0,3.1,0.6,2.7,2.0,0.44,4.1,1.9,0
2.5,0.56,1.9,3.5,0.67,3.2,1.7,0.48,4.6,1.1,0.5,1.5,3.2,0.62,1.4,4.2,1
2.7,0.98,1.4,3.9,0.54,5.6,-0.9,0.9,2.8,-1.2,0.94,5.9,-1.7,0.85,5.3,0.4,1
1.9,0.67,1.0,4.9,0.58,1.4,3.7,0.67,0.8,4.7,0.66,1.5,5.5,0.7,2.1,5.0,0
5.6,0.7,4.6,4.3,0.84,8.7,6.5,0.69,2.4,5.0,0.82,2.6,3.1,0.88,4.0,4.5,1
6.5,0.87,4.1,7.7,0.77,1.2,9.3,0.79,2.4,8.5,0.95,2.2,8.4,0.88,3.3,8.6,1
8.7,0.86,2.7,10.7,0.65,2.7,9.6,0.7,3.1,8.8,0.87,2.9,12.4,0.79,6.2,17.9,1
18.1,0.7,1.5,10.7,0.88,4.6,6.7,0.96,1.0,10.9,0.65,3.1,11.0,0.49,2.4,13.0,1
13.5,0.46,3.3,13.8,0.66,2.7,16.5,0.5,1.2,16.5,0.57,2.7,15.8,0.55,2.4,12.6,0
